resume_text,jd_text,years_exp,semantic_similarity,numeric_score,detailed_ai_suggestion,,,,,,
"DevSecOps specialist with 4 years of experience implementing security policies in CI/CD pipelines. Hands-on with SonarQube, Vault, and AWS IAM.","Looking for a data engineer experienced in Spark, Airflow, and Python for ETL development. Must understand data lakes and pipelines.",4,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 4 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"System administrator with 9 years of Linux and Windows server management. Skilled in shell scripting, Active Directory, and patching.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",9,0.93,93,"Strong fit (Score: 93%, Similarity: 0.93). With 9 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"ETL developer with 1 years of experience using SSIS, Informatica, and SQL for large-scale data warehouse pipelines.","We need a Unity game developer with experience in C#, multiplayer systems, and monetization integrations.",1,0.68,68,"Low fit (Score: 68%, Similarity: 0.68). With 1 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"AI prompt engineer with 5 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.","HR executive role open for candidates experienced in hiring, onboarding, HRMS tools like SAP/Zoho. 2+ years preferred.",5,0.8,80,"Good fit (Score: 80%, Similarity: 0.8). With 5 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
Game developer with 2 years' experience in Unity and C#. Built multiplayer features and integrated ads and in-app purchases.,Seeking a DevSecOps expert with hands-on experience integrating security into DevOps pipelines. Knowledge of Vault and IAM required.,2,0.93,93,"Strong fit (Score: 93%, Similarity: 0.93). With 2 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"System administrator with 10 years of Linux and Windows server management. Skilled in shell scripting, Active Directory, and patching.","Hiring full-stack developer (React, Node.js, MongoDB) with experience in building scalable systems and deploying to cloud.",10,0.73,73,"Moderate fit (Score: 73%, Similarity: 0.73). With 10 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Data engineer with 5 years of experience in building ETL pipelines using Airflow, Python, and Spark. Worked on distributed systems and optimized data warehousing.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",5,0.68,68,"Low fit (Score: 68%, Similarity: 0.68). With 5 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Graphic designer with 4 years’ experience in Adobe Creative Suite, branding, and visual storytelling for marketing teams.",Seeking a DevSecOps expert with hands-on experience integrating security into DevOps pipelines. Knowledge of Vault and IAM required.,4,0.82,82,"Good fit (Score: 82%, Similarity: 0.82). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"DevSecOps specialist with 7 years of experience implementing security policies in CI/CD pipelines. Hands-on with SonarQube, Vault, and AWS IAM.","DevOps engineer with 3+ years' experience. Required: AWS, Docker, CI/CD, Bash, Kubernetes.",7,0.94,94,"Strong fit (Score: 94%, Similarity: 0.94). With 7 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Blockchain developer with 10 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.","We need a Unity game developer with experience in C#, multiplayer systems, and monetization integrations.",10,0.74,74,"Moderate fit (Score: 74%, Similarity: 0.74). With 10 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
